county_name,number_of_cases,eligible_individuals,individuals_under_5,individuals_5-17,individuals_18-59,individuals_60-64,individuals_over_64,total_snap_payments,avg_snap_payment,month,year,payment_inflation_adjusted
Caldwell,2433,6058,1037,2342,2125,189,365,"$665,091",$273.36,January,2019,$351.84
Coryell,3490,8387,1330,2834,3577,265,381,"$885,360",$253.68,January,2019,$326.51
Falls,1366,2862,422,909,1147,134,250,"$292,461",$214.10,January,2019,$275.57
Fayette,844,1884,290,663,703,70,158,"$193,856",$229.69,January,2019,$295.63
Freestone,1049,2314,360,747,929,93,185,"$248,300",$236.70,January,2019,$304.65
Gillespie,583,1397,235,505,495,44,118,"$135,176",$231.86,January,2019,$298.42
Hays,5936,14502,2440,5434,5515,366,747,"$1,566,101",$263.83,January,2019,$339.57
Lampasas,1061,2393,300,783,1048,95,167,"$251,951",$237.47,January,2019,$305.65
Lee,786,1837,318,658,709,55,97,"$191,845",$244.08,January,2019,$314.15
Limestone,1641,3693,555,1269,1502,121,246,"$389,610",$237.42,January,2019,$305.58
Llano,879,1894,284,566,760,99,185,"$190,015",$216.17,January,2019,$278.23
McLennan,15600,35709,5954,12544,14152,1240,1819,"$3,824,211",$245.14,January,2019,$315.52
Milam,1835,4122,564,1411,1637,197,313,"$438,128",$238.76,January,2019,$307.31
Mills,172,394,53,124,166,16,35,"$40,412",$234.95,January,2019,$302.40
San Saba,340,756,107,241,297,42,69,"$76,711",$225.62,January,2019,$290.39
Travis,43412,94911,16312,36365,33596,2909,5729,"$10,991,518",$253.19,January,2019,$325.88
Williamson,11269,27599,4472,10527,10131,673,1796,"$2,966,975",$263.29,January,2019,$338.88
Bastrop,4320,10296,1771,4092,3555,331,547,"$1,167,021",$270.14,February,2019,$346.23
Bell,22352,54164,8868,19243,22377,1488,2188,"$6,064,092",$271.30,February,2019,$347.72
Blanco,248,522,82,168,198,21,53,"$54,615",$220.22,February,2019,$282.25
Burnet,1702,3980,634,1392,1500,150,304,"$405,693",$238.36,February,2019,$305.50
Caldwell,2415,5976,1007,2307,2100,194,368,"$668,926",$276.99,February,2019,$355.01
Coryell,3484,8336,1302,2818,3570,268,378,"$887,000",$254.59,February,2019,$326.30
Falls,1348,2853,417,911,1133,141,251,"$293,695",$217.87,February,2019,$279.24
Fayette,814,1819,288,619,684,72,156,"$189,778",$233.14,February,2019,$298.81
Freestone,1028,2293,353,761,908,88,183,"$252,259",$245.39,February,2019,$314.51
Gillespie,560,1329,219,483,464,45,118,"$129,059",$230.46,February,2019,$295.37
Hays,5914,14437,2404,5423,5500,367,743,"$1,589,906",$268.84,February,2019,$344.56
Lampasas,1064,2404,306,791,1042,97,168,"$258,240",$242.71,February,2019,$311.07
Lee,776,1813,314,651,699,50,99,"$194,760",$250.98,February,2019,$321.67
Limestone,1601,3589,536,1236,1452,118,247,"$385,167",$240.58,February,2019,$308.34
Llano,886,1908,288,565,762,99,194,"$196,057",$221.28,February,2019,$283.61
McLennan,15413,35271,5842,12379,13995,1235,1820,"$3,834,373",$248.78,February,2019,$318.85
Milam,1789,4043,545,1400,1586,192,320,"$432,153",$241.56,February,2019,$309.60
Mills,168,385,53,119,161,17,35,"$40,464",$240.86,February,2019,$308.70
San Saba,338,728,100,228,294,40,66,"$72,858",$215.56,February,2019,$276.28
Travis,42928,93756,16111,35779,33262,2903,5701,"$11,010,130",$256.48,February,2019,$328.72
Williamson,11139,27156,4432,10212,10019,692,1801,"$2,972,344",$266.84,February,2019,$342.00
Bastrop,4247,10100,1708,4016,3496,334,546,"$1,147,277",$270.14,March,2019,$344.29
Bell,22139,53647,8800,19085,22089,1492,2181,"$5,967,137",$269.53,March,2019,$343.51
Blanco,240,503,81,157,190,23,52,"$52,410",$218.38,March,2019,$278.32
Burnet,1645,3807,598,1321,1437,149,302,"$386,767",$235.12,March,2019,$299.66
Caldwell,2389,5881,985,2286,2055,191,364,"$663,420",$277.70,March,2019,$353.92
Coryell,3453,8277,1311,2753,3562,271,380,"$874,925",$253.38,March,2019,$322.93
Falls,1314,2789,416,886,1113,129,245,"$285,409",$217.21,March,2019,$276.83
Fayette,807,1797,297,605,671,70,154,"$188,050",$233.02,March,2019,$296.98
Freestone,1043,2351,356,790,924,96,185,"$254,271",$243.79,March,2019,$310.71
Gillespie,538,1259,205,455,439,42,118,"$122,898",$228.43,March,2019,$291.13
Hays,5836,14308,2377,5421,5410,368,732,"$1,565,568",$268.26,March,2019,$341.89
Lampasas,1065,2401,303,785,1053,97,163,"$254,547",$239.01,March,2019,$304.61
Lee,773,1786,302,639,689,55,101,"$187,745",$242.88,March,2019,$309.55
